name,description,category
Ryzen 9 7950X,"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (OEM Bundle),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Retail Box),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Heatsink Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (White Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Limited Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Gen 2),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Gen 3),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Enterprise Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Pro Bundle),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Starter Kit),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Value Pack),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Premium Bundle),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Creator Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Performance Pack),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Ultimate Bundle),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Refurbished),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Open Box),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Bulk Pack),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Student Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7950X (Gaming Edition),"16-core AM5 desktop processor, PCIe 5.0",Desktop CPUs
Ryzen 9 7900X,12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (OEM Bundle),12-core AM5 processor 170W TDP,Desktop CPUs
