category_name,attr1_name,attr1_values,attr2_name,attr2_values,attr3_name,attr3_values
PCIe 4.0 NVMe SSDs,Storage Capacity,500GB|1TB|2TB|4TB,Interface,PCIe 4.0 x4,Color,Black|Silver
PCIe 5.0 NVMe SSDs,Storage Capacity,1TB|2TB|4TB,Interface,PCIe 5.0 x4,Color,Black|Silver
SATA SSDs,Storage Capacity,120GB|240GB|480GB|960GB|1TB|2TB,Interface,SATA III,Color,Black|Silver
"3.5"" Desktop HDDs",Storage Capacity,1TB|2TB|4TB|8TB|16TB|20TB,Interface,SATA III,,
"2.5"" Laptop HDDs",Storage Capacity,500GB|1TB|2TB,Interface,SATA III,,
External Drives,Storage Capacity,500GB|1TB|2TB|4TB,Interface,USB 3.2 Gen 2|USB 3.2 Gen 2x2|Thunderbolt 4,,
USB Flash Drives,Storage Capacity,32GB|64GB|128GB|256GB|512GB,Interface,USB 3.2 Gen 1|USB 3.2 Gen 2,Color,Black|White|Silver|Red|Blue
Memory Cards,Storage Capacity,64GB|128GB|256GB|512GB|1TB,Speed,DDR4-3200|DDR4-4800,Color,Black
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-4800,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-5200,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-5600,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-6000,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-6400,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-7200,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,8GB,Speed,DDR5-8000,Kit Size,1x8GB|2x8GB|4x8GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-4800,Kit Size,1x16GB|2x16GB|4x16GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-5200,Kit Size,1x16GB|2x16GB|4x16GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-5600,Kit Size,1x16GB|2x16GB|4x16GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-6000,Kit Size,1x16GB|2x16GB|4x16GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-6400,Kit Size,1x16GB|2x16GB|4x16GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-7200,Kit Size,1x16GB|2x16GB|4x16GB
DDR5 RAM,RAM Capacity,16GB,Speed,DDR5-8000,Kit Size,1x16GB|2x16GB|4x16GB
